0M4;Benton County;Camden;TN;USA;3.601.122.694;-8.812.328.833
0M5;Humphreys County;Waverly;TN;USA;3.611.659.972;-8.773.815.889
0M6;Panola County;Batesville;MS;USA;3.436.677.444;-8.990.008.917
0M8;Byerley;Lake Providence;LA;USA;3.282.587.917;-91.187.665
0O3;Calaveras Co-Maury Rasmussen ;San Andreas;CA;USA;3.814.611.639;-1.206.481.733
0O4;Corning Municipal;Corning;CA;USA;3.994.376.806;-1.221.713.781
0O5;University;Davis;CA;USA;3.853.146.222;-1.217.864.906
0Q5;Shelter Cove;Shelter Cove;CA;USA;4.002.764.333;-1.240.733.639
0Q6;Shingletown;Shingletown;CA;USA;4.052.210.111;-1.218.177.683
0R0;Columbia-Marion County;Columbia;MS;USA;3.129.700.806;-8.981.282.944
0R1;Atmore Municipal;Atmore;AL;USA;3.101.621.528;-8.744.675.972
0R3;Abbeville Chris Crusta Memorial;Abbeville;LA;USA;2.997.576.083;-9.208.415.167
0R4;Concordia Parish;Vidalia;LA;USA;3.156.683.278;-9.150.011.889
0R5;David G Joyce;Winnfield;LA;USA;3.196.366.222;-9.266.026.056
0R7;Red River;Coushatta;LA;USA;3.199.071.694;-9.330.739.306
0S7;Dorothy Scott;Oroville;WA;USA;48.958.965;-1.194.119.622
0S9;Jefferson County International;Port Townsend;WA;USA;4.804.981.361;-1.228.012.792
0V2;Harriet Alexander ;Salida;CO;USA;3.853.916.389;-1.060.458.483
0V3;Pioneer Village ;Minden;NE;USA;405.149.125;-9.894.565.083
0V4;Brookneal/Campbell County;Brookneal;VA;USA;3.714.172.222;-7.901.638.889
0V6;Mission Sioux;Mission;SD;USA;4.330.694.778;-1.006.281.936
0V7;Kayenta;Kayenta;AZ;USA;3.670.972.139;-1.102.367.978
10C;Galt;Chicago/Greenwood/Wonderlake;IL;USA;4.240.266.472;-8.837.588.917
10D;Winsted Municipal;Winsted;MN;USA;4.494.996.278;-940.669.175
10G;Holmes County;Millersburg;OH;USA;4.053.716.667;-8.195.436.111
10N;Wallkill;Wallkill;NY;USA;4.162.787.111;-7.413.375.583
10U;Owyhee;Owyhee;NV;USA;4.195.323.306;-1.161.876.014
11A;Clayton Municipal;Clayton;AL;USA;3.188.329.917;-8.548.491.361
11D;Clarion Cty;Clarion;PA;USA;4.122.581.222;-7.944.098.972
11IS;Schaumburg Heliport;Chicago/Schaumburg;IL;USA;4.204.808.278;-8.805.257.194
11J;Early County;Blakely;GA;USA;3.139.698.611;-8.489.525.694
11R;Brenham Municipal;Brenham;TX;USA;30.219;-9.637.427.778
12C;Rochelle Municipal;Rochelle;IL;USA;4.189.300.139;-8.907.829
12D;Tower Municipal;Tower;MN;USA;4.781.833.333;-9.229.166.667
12J;Brewton Municipal;Brewton;AL;USA;3.105.126.306;-8.706.796.833
12K;Superior Municipal;Superior;NE;USA;4.004.636.111;-9.806.011.111
12Y;Le Sueur Municipal;Le Sueur;MN;USA;4.443.746.472;-9.391.274.083
13C;Lakeview;Lakeview;MI;USA;4.345.213.722;-8.526.480.333
13K;Eureka Municipal;Eureka;KS;USA;378.515.825;-9.629.169.806
13N;Trinca;Andover;NJ;USA;4.096.676.444;-7.478.016.556
14J;Carl Folsom;Elba;AL;USA;3.140.988.861;-8.608.883.583
14M;Hollandale Municipal;Hollandale;MS;USA;3.318.262.167;-9.083.065.444
14Y;Todd Field ;Long Prairie;MN;USA;4.589.857.556;-9.487.391
15F;Haskell Municipal;Haskell;TX;USA;3.319.155.556;-9.971.793.056
15J;Cook County;Adel;GA;USA;3.113.780.556;-8.345.308.333
15M;Luka ;Luka;MS;USA;347.723.125;-8.816.587.444
15Z;McCarthy 2;McCarthy;AK;USA;6.143.706.083;-1.429.037.372
16A;Nunapitchuk;Nunapitchuk;AK;USA;6.090.582.833;-1.624.391.158
16G;Seneca County;Tiffin;OH;USA;4.109.405.556;-832.125
16J;Dawson Municipal;Dawson;GA;USA;3.174.328.472;-84.419.285
16S;Myrtle Creek Municipal;Myrtle Creek;OR;USA;4.299.845.056;-1.233.095.092
17G;Port Bucyrus-Crawford County;Bucyrus;OH;USA;4.078.141.667;-8.297.469.444
17J;Donalsonville Municipal;Donalsonville;GA;USA;3.100.694.444;-8.487.761.111
